Latitude,Longitude,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
24.5625,-81.8125,5.24,1.02,7.77,46.53,86.21,85.13,43.95,151.67,201.36,84.3,41.47,150.02
25.1875,-81.1042,7.99,53.06,26.8,77.31,126.0,131.71,142.48,171.07,154.19,84.15,220.87,118.82
25.2292,-80.8125,2.74,77.03,25.95,94.06,145.34,141.02,159.1,148.59,131.74,85.19,254.64,104.7
25.2708,-80.5625,0.96,93.84,29.88,121.84,166.32,162.41,167.3,147.99,141.28,93.84,263.17,101.79
25.3542,-81.0625,2.49,76.09,24.68,92.61,147.51,142.87,168.55,151.71,128.36,80.87,229.8,102.83
25.3958,-81.0625,1.83,80.17,25.49,97.61,149.67,148.88,176.54,153.23,129.08,79.18,229.22,100.43
25.4375,-81.1042,1.75,82.92,28.15,103.35,143.96,160.41,188.91,163.91,139.18,73.17,225.51,99.44
25.4792,-81.1042,1.3,86.59,29.25,108.87,145.0,167.75,197.66,167.51,142.64,70.88,224.79,97.32
25.5208,-81.1875,1.19,82.89,29.07,107.83,142.34,168.1,200.74,168.25,142.07,68.6,219.54,98.14
25.5208,-80.3542,1.54,119.04,55.96,199.15,175.63,256.4,208.86,191.79,229.57,82.69,233.83,101.8
25.5625,-80.3958,1.55,122.91,53.31,197.88,183.73,257.58,227.29,200.4,230.58,80.87,230.09,104.43
25.6042,-80.5208,1.15,117.18,49.5,185.42,176.99,244.99,237.53,208.95,222.91,73.94,242.25,101.26
25.6458,-80.6458,1.0,110.88,47.62,183.04,169.93,236.59,237.16,208.62,213.7,72.86,232.87,95.93
25.6875,-80.8542,0.9,105.67,42.96,164.67,166.02,225.66,243.95,202.82,193.82,67.81,219.67,91.34
25.7292,-81.0625,0.83,93.89,39.28,149.58,152.79,217.03,243.54,201.01,181.12,62.34,205.72,89.29
25.7708,-81.3542,2.07,31.61,23.66,120.06,137.49,184.45,186.22,185.94,172.83,63.45,166.5,85.64
25.7708,-80.5208,1.15,115.34,56.44,229.87,181.75,261.05,236.46,218.09,239.41,79.14,231.97,97.35
